Date,Symbol,Open,High,Low,Close,Volume
2022-10-28,A,136.38,139.12,135.02,138.77,901900.0
2022-10-27,A,137.26,137.99,135.33,136.49,930700.0
2022-10-26,A,134.43,139.31,134.0,137.69,1381900.0
2022-10-25,A,132.3,135.1,132.3,134.5,1206000.0
2022-10-24,A,131.13,133.13,129.81,132.3,1045300.0
2022-10-21,A,126.37,130.13,124.82,129.88,1067000.0
2022-10-20,A,127.83,129.74,125.61,125.94,1897200.0
2022-10-19,A,130.11,130.27,127.24,128.96,1034000.0
2022-10-18,A,133.92,134.68,131.2,132.3,1038100.0
2022-10-17,A,127.38,131.09,127.38,130.56,1197900.0
2022-10-14,A,129.0,130.22,125.47,125.7,1217200.0
2022-10-13,A,123.0,128.83,122.35,127.9,1553600.0
2022-10-12,A,126.2,127.1,125.27,125.69,1069600.0
2022-10-11,A,125.0,127.89,124.16,125.64,1985300.0
2022-10-10,A,128.05,128.05,124.31,125.95,1246000.0
2022-10-07,A,130.45,130.93,126.96,127.44,1154700.0
2022-10-06,A,132.3,133.82,131.6,132.18,1218400.0
2022-10-05,A,129.99,133.53,129.5,132.64,1567700.0
2022-10-04,A,128.79,131.56,128.57,131.41,1647800.0
2022-10-03,A,122.73,127.3,121.68,126.38,1343200.0
2022-09-30,A,123.02,125.13,121.38,121.55,1624200.0
2022-09-29,A,122.81,124.24,122.28,122.74,1312800.0
2022-09-28,A,122.77,124.43,121.6,123.72,1361200.0
2022-09-27,A,123.87,124.07,120.6,121.61,1040500.0
2022-09-26,A,123.18,124.25,121.63,122.31,1733100.0
2022-09-23,A,123.73,124.43,121.44,123.48,1481900.0
2022-09-22,A,125.55,126.04,123.76,124.39,1378600.0
2022-09-21,A,128.73,130.57,126.33,126.48,1105700.0
2022-09-20,A,129.1,129.6,126.82,128.14,1274700.0
2022-09-19,A,128.79,130.79,128.36,130.72,1059600.0
2022-09-16,A,132.12,132.13,128.28,129.89,2300600.0
2022-09-15,A,133.81,135.51,132.66,133.16,1446500.0
2022-09-14,A,133.8,135.36,132.1,133.25,1577000.0
2022-09-13,A,136.32,137.41,133.44,133.54,1587000.0
2022-09-12,A,137.53,140.0,137.23,139.87,1851100.0
2022-09-09,A,135.98,137.92,135.43,137.63,2425200.0
2022-09-08,A,130.93,135.27,130.71,135.19,1355100.0
2022-09-07,A,128.97,131.82,128.61,131.43,1254600.0
2022-09-06,A,129.38,130.57,127.72,129.3,1533500.0
2022-09-02,A,129.79,130.27,127.12,128.01,1695900.0
2022-09-01,A,127.63,129.11,126.21,128.93,1282000.0
2022-08-31,A,129.38,130.23,128.0,128.25,1890700.0
2022-08-30,A,128.51,129.02,127.16,128.28,1772400.0
2022-08-29,A,128.43,129.35,127.18,128.11,926000.0
2022-08-26,A,136.0,136.05,129.78,129.87,1252700.0
2022-08-25,A,135.3,136.08,133.99,136.01,969100.0
2022-08-24,A,133.02,134.54,132.65,133.67,1020500.0
2022-08-23,A,133.11,134.1,132.04,132.64,1188300.0
2022-08-22,A,135.3,136.03,133.56,133.94,1250700.0
2022-08-19,A,139.35,139.73,137.26,137.62,1477500.0
2022-08-18,A,141.88,141.96,138.76,139.97,1740300.0
2022-08-17,A,148.84,149.0,140.03,142.29,4110100.0
2022-08-16,A,132.89,133.42,131.66,132.77,1810000.0
2022-08-15,A,133.28,134.62,132.67,133.9,1291100.0
2022-08-12,A,132.26,133.63,131.43,133.55,865800.0
2022-08-11,A,132.91,135.13,131.59,131.95,1162500.0
2022-08-10,A,131.37,132.77,130.15,132.58,1022000.0
2022-08-09,A,132.5,132.5,128.02,128.88,894700.0
2022-08-08,A,134.2,134.42,132.14,132.52,1257100.0
2022-08-05,A,132.27,133.84,131.75,133.61,675800.0
2022-08-04,A,134.69,135.0,132.74,133.77,895600.0
2022-08-03,A,133.45,135.26,133.02,134.56,2113200.0
2022-08-02,A,132.41,134.68,131.09,131.28,1398600.0
2022-08-01,A,133.51,135.23,133.26,133.43,1081700.0
2022-07-29,A,131.27,134.5,130.9,134.1,2214900.0
2022-07-28,A,128.17,131.82,126.78,131.11,1861400.0
2022-07-27,A,125.04,128.33,124.71,127.71,1395900.0
2022-07-26,A,124.66,125.63,123.37,125.17,1260000.0
2022-07-25,A,125.05,125.41,123.19,124.26,1044000.0
2022-07-22,A,127.41,128.54,124.31,125.04,1079500.0
2022-07-21,A,122.12,127.34,122.12,127.19,1682500.0
2022-07-20,A,119.93,121.21,119.25,119.86,1316600.0
2022-07-19,A,116.99,119.34,116.37,119.06,1296900.0
2022-07-18,A,118.95,119.39,114.46,115.11,1178200.0
2022-07-15,A,117.78,118.88,116.0,118.83,969400.0
2022-07-14,A,117.1,117.73,113.02,115.88,1347300.0
2022-07-13,A,117.41,119.7,116.86,118.65,1378000.0
2022-07-12,A,122.43,123.41,118.75,119.24,1196800.0
2022-07-11,A,121.61,123.46,121.01,123.12,1304400.0
2022-07-08,A,120.96,123.21,120.96,122.51,1267300.0
2022-07-07,A,120.99,123.22,120.62,123.15,1221200.0
2022-07-06,A,120.8,122.34,120.56,121.18,1642300.0
2022-07-05,A,117.75,120.68,116.49,120.56,1484900.0
2022-07-01,A,118.79,119.76,116.7,119.21,1119800.0
2022-06-30,A,116.0,119.95,116.0,118.77,1612000.0
2022-06-29,A,117.19,118.54,116.24,117.9,906600.0
2022-06-28,A,120.45,121.24,116.72,117.06,1426100.0
2022-06-27,A,121.83,122.3,119.85,120.57,1805700.0
2022-06-24,A,119.95,121.35,118.45,121.29,3780400.0
2022-06-23,A,114.6,118.75,114.27,118.6,1801600.0
2022-06-22,A,112.66,115.08,112.52,113.8,2585300.0
2022-06-21,A,114.41,115.57,113.76,113.88,1588200.0
2022-06-17,A,114.77,116.73,112.67,112.71,2681500.0
2022-06-16,A,113.8,115.08,113.36,114.96,1601600.0
2022-06-15,A,117.24,117.77,113.77,116.47,1886300.0
2022-06-14,A,115.99,116.7,113.25,116.01,1314000.0
2022-06-13,A,116.48,117.7,115.38,116.28,1405800.0
2022-06-10,A,121.63,121.93,119.9,120.57,1379600.0
2022-06-09,A,126.09,126.92,124.13,124.14,814400.0
2022-06-08,A,127.88,128.64,126.4,126.84,1049500.0
2022-06-07,A,126.57,131.2,126.57,128.9,1236300.0
2022-06-06,A,129.38,130.0,126.97,127.63,1310600.0
2022-06-03,A,127.62,128.72,126.42,128.49,1722800.0
2022-06-02,A,122.96,129.19,122.3,129.1,1444400.0
2022-06-01,A,127.86,128.98,122.43,123.09,1757600.0
2022-05-31,A,128.91,130.07,126.72,127.56,3403100.0
2022-05-27,A,124.92,130.77,124.49,130.55,2698800.0
2022-05-26,A,120.75,124.22,120.72,123.85,1768000.0
2022-05-25,A,127.21,127.46,119.18,120.38,3524500.0
2022-05-24,A,125.32,126.0,123.8,124.41,2187700.0
2022-05-23,A,126.45,126.47,123.76,125.98,2037000.0
2022-05-20,A,124.03,125.58,122.44,125.13,2594600.0
2022-05-19,A,120.31,123.58,119.53,122.4,2310100.0
2022-05-18,A,121.19,121.91,120.31,120.79,1336000.0
2022-05-17,A,122.7,123.7,121.45,123.08,2216200.0
2022-05-16,A,119.63,121.03,118.83,120.3,2011600.0
2022-05-13,A,117.38,120.72,117.27,119.38,1328400.0
2022-05-12,A,113.61,116.25,112.78,116.13,1338000.0
2022-05-11,A,115.7,118.0,113.84,113.99,1607000.0
2022-05-10,A,115.44,117.94,113.14,116.64,2141800.0
2022-05-09,A,119.13,119.13,112.64,113.11,1861700.0
2022-05-06,A,120.88,121.88,118.0,121.08,1629000.0
2022-05-05,A,124.62,125.21,120.8,122.15,2123600.0
2022-05-04,A,121.69,126.69,121.44,126.3,2460400.0
2022-05-03,A,119.72,123.98,119.09,122.4,3217800.0
2022-05-02,A,118.38,120.34,116.49,119.57,1756200.0
2022-04-29,A,120.71,123.89,119.05,119.27,2269200.0
2022-10-28,AAL,14.0,14.1,13.79,14.0,26369800.0
2022-10-27,AAL,14.18,14.48,13.96,13.97,25575200.0
2022-10-26,AAL,14.14,14.44,13.99,14.0,28273700.0
2022-10-25,AAL,14.05,14.37,13.93,14.29,27677200.0
2022-10-24,AAL,13.75,14.12,13.59,14.1,32811000.0
